,link,title
0,https://finance.yahoo.com/news/look-pagerdutys-nyse-pd-share-172619615.html,A Look At PagerDuty's (NYSE:PD) Share Price Returns
1,https://www.fool.com/investing/2020/09/04/why-fastly-datadog-pagerduty-and-slack-stocks-plun/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Why Fastly, Datadog, PagerDuty, and Slack Stocks Plunged Today"
2,https://finance.yahoo.com/news/why-pagerduty-pd-plunged-25-224710216.html,Why PagerDuty (PD) Plunged 25.8% on Thursday
3,https://realmoney.thestreet.com/investing/pagerduty-gaps-lower-on-disappointing-results-15417542?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,Is PagerDuty Off Duty?
4,https://www.thestreet.com/investing/zuora-pagerduty-docusign-midday-tech-stock-movers?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"Zuora, PagerDuty, DocuSign: Midday Tech Stock Movers"
5,https://www.thestreet.com/investing/pagerduty-shares-off-after-q3-forecast-lags-expectations?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,PagerDuty Shares Off - Outlook Lags Estimates
6,https://www.fool.com/investing/2020/09/03/why-pagerduty-stock-tumbled-today/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why PagerDuty Stock Tumbled Today
7,https://www.fool.com/earnings/call-transcripts/2020/09/03/pagerduty-inc-pd-q2-2021-earnings-call-transcript/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"PAGERDUTY, INC. (PD) Q2 2021 Earnings Call Transcript"
8,https://finance.yahoo.com/news/pagerduty-pd-q2-loss-narrower-142102604.html,"PagerDuty (PD) Q2 Loss Narrower Than Expected, Revenues Rise"
9,https://www.barrons.com/articles/the-tech-stock-rally-is-taking-a-breather-51599134589?siteid=yhoof2&yptr=yahoo,The Tech-Stock Rally Is Taking a Breather
