,link,title
0,https://finance.yahoo.com/news/pinterest-pins-stock-outpacing-computer-153003884.html,Is Pinterest (PINS) Stock Outpacing Its Computer and Technology Peers This Year?
1,https://www.fool.com/investing/2020/09/04/3-of-the-best-stocks-to-buy-right-now-with-50/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,3 of the Best Stocks to Buy Right Now With $50
2,https://finance.yahoo.com/news/pinterest-plans-election-related-content-071023859.html,Pinterest Plans To Make Election-Related Content Ad Free
3,https://www.thestreet.com/investing/pinterest-removes-ads-for-election-related-content-in-run-up-to-elections?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,Pinterest Won't Show Ads Next To Election-Related Content
4,https://finance.yahoo.com/news/hedge-fund-interest-pinterest-inc-042857348.html,"Hedge Fund Interest In Pinterest, Inc. (PINS) Is Skyrocketing"
5,https://finance.yahoo.com/news/missed-zoom-boom-still-ways-210829593.html,Missed the Zoom Boom? It Still Has a Ways to Go
6,https://finance.yahoo.com/news/why-pinterest-pins-40-3-153003479.html,Why Is Pinterest (PINS) Up 40.3% Since Last Earnings Report?
7,https://finance.yahoo.com/news/pinterest-hit-89-5m-cancelled-120013702.html,Pinterest Hit With $89.5M Cancelled Lease Fee; Stock Up 90% YTD
8,https://finance.yahoo.com/news/pinterest-nixes-big-san-francisco-221633155.html,Pinterest Nixes Big San Francisco Lease Deal in Covid Scaleback
9,https://finance.yahoo.com/news/pinterest-announces-termination-future-lease-210000911.html,Pinterest Announces Termination of Future Lease Contract
