,link,title
0,https://www.fool.com/investing/2020/09/08/why-solar-stocks-jumped-double-digits-in-august/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Solar Stocks Jumped Double Digits in August
1,https://www.fool.com/investing/2020/09/04/why-solar-power-stocks-are-crashing-again-friday/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Solar Power Stocks Are Crashing Again Friday
2,https://www.fool.com/investing/2020/09/03/why-solar-power-stocks-are-crashing-thursday/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Solar Power Stocks Are Crashing Thursday
3,https://www.barrons.com/articles/green-energy-shares-rise-along-with-joe-bidens-polling-51598029084?siteid=yhoof2&yptr=yahoo,Green-Energy Shares Rise Along With Joe Biden’s Polling
4,https://finance.yahoo.com/news/sunrun-grid-alternatives-free-home-130000621.html,Sunrun and GRID Alternatives to Provide Free Home Batteries to Eligible Californians who are Vulnerable to Power Outages
5,https://www.fool.com/investing/2020/08/20/is-sunrun-sunpower-right-future-residential-solar/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Is Sunrun or SunPower Right About the Future of Residential Solar?
6,https://finance.yahoo.com/news/sunrun-vivint-solar-announce-stock-110000835.html,"Sunrun, Vivint Solar Announce Stock Purchase Agreement Between Coatue and Blackstone Affiliate"
7,https://www.thestreet.com/investing/stocks/5-stock-gainers-for-wednesday-tesla-acm-research?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"5 Stock Gainers for Wednesday: Tesla, ACM Research, Sunrun"
8,https://www.fool.com/investing/2020/08/11/why-plug-power-sunrun-and-vivint-solar-stocks-drop.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Why Plug Power, Sunrun, and Vivint Solar Stocks Dropped This Morning"
9,https://finance.yahoo.com/news/sunrun-run-reports-q2-loss-212509397.html,"Sunrun (RUN) Reports Q2 Loss, Tops Revenue Estimates"
