,link,title
0,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-strategy-tesla-dives-on-sp-500-surprise/?src=A00220&yptr=yahoo,"Dow Jones Futures Fall: How To Handle The Stock Market Rally As Tesla, Big Techs Tumble"
1,https://www.barrons.com/articles/peloton-faces-earnings-expectations-of-zoom-like-proportions-51599260542?siteid=yhoof2&yptr=yahoo,Peloton Reports Earnings This Week. Here’s What to Expect.
2,https://finance.yahoo.com/news/house-counsel-move-robinhood-swipes-092857661.html,"In-house counsel on the move: Robinhood swipes compliance heads from Fidelity, Wells"
3,https://www.fool.com/investing/2020/09/06/if-youve-got-3000-to-invest-these-3-top-stocks-jus/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"If You've Got $3,000 to Invest, These 3 Top Stocks Just Grew Revenue by More Than 100%"
4,https://finance.yahoo.com/news/bull-day-zoom-video-zm-090009660.html,Bull of the Day: Zoom Video (ZM)
5,https://finance.yahoo.com/news/barrons-picks-pans-boeing-citigroup-133037803.html,"Barron's Picks And Pans: Boeing, Citigroup, Zoom Video And More"
6,https://finance.yahoo.com/news/5-shelter-place-stocks-buy-132801009.html,5 Shelter-in-Place Stocks to Buy as Coronavirus Cases Rise
7,https://finance.yahoo.com/news/you-have-to-be-very-flexible-us-tech-startups-accelerate-hiring-abroad-in-push-to-distribute-workforce-130714495.html,'You have to be very flexible:' US tech startups accelerate hiring abroad in push to distribute workforce
8,https://www.fool.com/investing/2020/09/05/better-buy-zoom-video-communications-vs-cisco-syst/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Better Buy: Zoom Video Communications vs. Cisco Systems
9,https://www.barrons.com/articles/zoom-stock-soars-higher-and-higher-when-does-it-comes-down-to-earth-51599256355?siteid=yhoof2&yptr=yahoo,Zoom Stock Soars Higher and Higher. Buyer Beware.
