,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,3day_before_change
0,2020-09-04,26.0,26.36,23.1,25.15,25.15,7157700,0,0,0.6862210095497954
1,2020-09-03,27.0,27.45,24.6,25.97,25.97,14339600,0,0,
2,2020-09-02,37.0,37.24,33.36,34.99,34.99,5942300,0,0,
3,2020-09-01,34.0,36.84,33.82,36.65,36.65,4252000,0,0,1.1938110749185669
4,2020-08-31,30.92,32.91,30.87,32.67,32.67,2633500,0,0,
5,2020-08-28,30.47,31.2,30.47,30.7,30.7,917800,0,0,1.0608154803040772
6,2020-08-27,30.27,30.47,29.65,30.3,30.3,951400,0,0,
7,2020-08-26,29.34,31.0,29.32,30.25,30.25,1944400,0,0,
8,2020-08-25,28.2,29.21,27.81,28.94,28.94,782100,0,0,0.9965564738292012
9,2020-08-24,29.27,29.27,28.01,28.38,28.38,825700,0,0,
10,2020-08-21,29.63,30.36,28.85,29.04,29.04,1257600,0,0,1.0048442906574395
11,2020-08-20,28.7,30.19,28.26,29.8,29.8,958800,0,0,
12,2020-08-19,28.94,29.33,28.19,28.89,28.89,822700,0,0,
13,2020-08-18,29.08,29.34,28.68,28.9,28.9,653600,0,0,0.9904043865661412
14,2020-08-17,29.28,29.59,28.52,28.86,28.86,679700,0,0,
15,2020-08-14,29.67,29.81,28.71,29.18,29.18,512900,0,0,1.0167247386759581
16,2020-08-13,28.8,29.89,28.79,29.5,29.5,1167100,0,0,
17,2020-08-12,28.84,29.72,28.7,28.85,28.85,1115300,0,0,
18,2020-08-11,28.1,28.88,27.25,28.7,28.7,1086300,0,0,0.9614740368509213
19,2020-08-10,30.0,30.18,26.98,28.36,28.36,1331100,0,0,
20,2020-08-07,31.5,32.0,29.38,29.85,29.85,1410900,0,0,0.9641472868217055
21,2020-08-06,33.0,33.09,31.29,31.6,31.6,900100,0,0,
22,2020-08-05,31.08,32.94,30.5,32.84,32.84,1527400,0,0,
23,2020-08-04,30.77,31.09,30.27,30.96,30.96,814400,0,0,1.015748031496063
24,2020-08-03,30.54,30.95,30.04,30.71,30.71,1145700,0,0,
25,2020-07-31,29.32,30.48,29.32,30.48,30.48,875600,0,0,1.0816181689141235
26,2020-07-30,29.32,30.48,29.04,29.91,29.91,1635600,0,0,
27,2020-07-29,28.48,29.96,28.4,29.94,29.94,1934400,0,0,
28,2020-07-28,27.87,28.76,27.5,28.18,28.18,1988900,0,0,1.0417744916820701
29,2020-07-27,27.14,28.22,26.72,28.02,28.02,1753300,0,0,
30,2020-07-24,26.83,27.2,26.46,27.05,27.05,1529700,0,0,0.982921511627907
31,2020-07-23,27.7,27.92,26.96,27.4,27.4,1349100,0,0,
32,2020-07-22,27.58,27.79,27.16,27.67,27.67,917900,0,0,
33,2020-07-21,27.36,27.89,26.74,27.52,27.52,1502300,0,0,1.0683229813664596
34,2020-07-20,26.14,27.19,26.13,26.98,26.98,2072000,0,0,
35,2020-07-17,25.39,25.94,25.09,25.76,25.76,1092900,0,0,1.0141732283464568
36,2020-07-16,25.3,25.49,24.39,25.3,25.3,1328700,0,0,
37,2020-07-15,25.66,25.97,24.96,25.81,25.81,1074900,0,0,
38,2020-07-14,25.36,25.76,24.36,25.4,25.4,1889000,0,0,0.9000708717221828
39,2020-07-13,28.4,28.7,25.65,25.67,25.67,2281300,0,0,
40,2020-07-10,30.01,30.18,28.11,28.22,28.22,1727000,0,0,0.948890383322125
41,2020-07-09,30.35,30.5,29.02,30.08,30.08,2376700,0,0,
42,2020-07-08,29.84,30.12,29.13,30.06,30.06,1044100,0,0,
43,2020-07-07,29.8,30.24,29.42,29.74,29.74,1077500,0,0,0.9910029990003332
44,2020-07-06,30.28,30.62,29.5,29.69,29.69,2424300,0,0,
