,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,3day_before_change
0,2020-09-04,35.32,36.24,32.84,34.38,34.38,14893600,0,0,0.8962460896767467
1,2020-09-03,37.8,37.97,35.41,35.93,35.93,16725600,0,0,
2,2020-09-02,39.04,39.64,36.91,38.81,38.81,15752400,0,0,
3,2020-09-01,36.87,38.67,36.3,38.36,38.36,20043400,0,0,1.0854555744199206
4,2020-08-31,35.42,37.11,35.19,36.79,36.79,17002900,0,0,
5,2020-08-28,34.61,35.38,33.95,35.34,35.34,8025100,0,0,1.0372761960669212
6,2020-08-27,34.43,34.97,33.61,34.49,34.49,10750500,0,0,
7,2020-08-26,34.18,34.98,33.8,34.31,34.31,9093700,0,0,
8,2020-08-25,33.16,34.31,32.85,34.07,34.07,9347000,0,0,0.9964902018133958
9,2020-08-24,33.95,34.14,32.51,32.9,32.9,16739800,0,0,
10,2020-08-21,34.55,34.75,33.58,34.19,34.19,16864600,0,0,0.9502501389660923
11,2020-08-20,34.74,34.9,33.65,34.5,34.5,12815000,0,0,
12,2020-08-19,35.79,38.23,34.49,34.53,34.53,29472900,0,0,
13,2020-08-18,35.98,37.29,35.18,35.98,35.98,18262900,0,0,1.0374855824682814
14,2020-08-17,34.61,35.32,34.19,35.01,35.01,12219500,0,0,
15,2020-08-14,34.75,35.1,34.46,34.68,34.68,7352600,0,0,1.008139534883721
16,2020-08-13,35.27,35.75,34.59,34.86,34.86,12172200,0,0,
17,2020-08-12,34.64,35.93,33.56,35.53,35.53,13941900,0,0,
18,2020-08-11,34.93,35.52,34.34,34.4,34.4,11420100,0,0,0.9834190966266438
19,2020-08-10,36.51,36.79,34.94,35.86,35.86,22474600,0,0,
20,2020-08-07,35.85,37.25,34.3,34.98,34.98,19687900,0,0,1.0020051561157262
21,2020-08-06,36.26,36.27,35.36,35.9,35.9,10960200,0,0,
22,2020-08-05,35.0,36.28,34.64,35.88,35.88,15446200,0,0,
23,2020-08-04,34.72,35.07,33.8,34.91,34.91,38072700,0,0,1.0180810731991834
24,2020-08-03,34.6,37.33,34.29,36.08,36.08,45779300,0,0,
25,2020-07-31,33.56,34.5,31.0,34.29,34.29,111863700,0,0,1.42875
26,2020-07-30,24.59,25.37,24.41,25.19,25.19,16260300,0,0,
27,2020-07-29,24.33,25.16,24.24,24.95,24.95,9551500,0,0,
28,2020-07-28,24.16,24.46,23.88,24.0,24.0,5295900,0,0,0.9779951100244499
29,2020-07-27,24.48,24.59,23.84,24.27,24.27,6881100,0,0,
30,2020-07-24,24.22,24.69,23.56,24.54,24.54,9096200,0,0,0.9541213063763608
31,2020-07-23,25.26,25.42,24.28,24.64,24.64,9939300,0,0,
32,2020-07-22,25.4,25.66,24.75,25.39,25.39,11745300,0,0,
33,2020-07-21,26.5,26.52,25.47,25.72,25.72,10488400,0,0,1.031688728439631
34,2020-07-20,24.98,26.15,24.85,26.08,26.08,8068400,0,0,
35,2020-07-17,24.93,25.01,24.41,24.93,24.93,7535300,0,0,1.00767987065481
36,2020-07-16,24.39,24.74,24.01,24.65,24.65,8761200,0,0,
37,2020-07-15,25.12,25.7,24.18,24.62,24.62,10930700,0,0,
38,2020-07-14,24.64,25.01,23.76,24.74,24.74,14933700,0,0,0.9314759036144579
39,2020-07-13,27.07,27.22,24.72,24.77,24.77,11553500,0,0,
40,2020-07-10,27.32,27.35,26.09,26.56,26.56,12810600,0,0,1.0274661508704062
41,2020-07-09,27.32,27.83,26.77,27.42,27.42,13994600,0,0,
42,2020-07-08,26.13,27.0,25.95,27.0,27.0,16272800,0,0,
43,2020-07-07,25.58,26.3,25.34,25.85,25.85,12016700,0,0,1.0721692243882208
44,2020-07-06,24.56,26.07,24.31,25.82,25.82,21918200,0,0,
45,2020-07-02,23.95,24.55,23.78,24.11,24.11,18224300,0,0,1.0939201451905627
46,2020-07-01,22.53,23.6,22.46,23.28,23.28,15591300,0,0,
47,2020-06-30,22.09,22.27,21.46,22.17,22.17,8253600,0,0,
48,2020-06-29,21.2,22.09,20.07,22.04,22.04,14328900,0,0,1.019898195279963
49,2020-06-26,22.69,23.74,21.25,21.61,21.61,45955800,0,0,0.8977980889073535
50,2020-06-25,22.94,23.49,22.36,22.58,22.58,12023100,0,0,
51,2020-06-24,23.82,24.17,22.35,23.17,23.17,12040000,0,0,
52,2020-06-23,24.01,24.33,23.57,24.07,24.07,14326800,0,0,1.037052994398966
53,2020-06-22,23.33,24.17,23.26,23.95,23.95,14628500,0,0,
54,2020-06-19,23.37,24.35,23.2,23.21,23.21,20789200,0,0,1.0454954954954956
55,2020-06-18,22.23,23.32,22.22,23.06,23.06,18077600,0,0,
56,2020-06-17,22.2,22.58,21.38,22.4,22.4,15640100,0,0,
57,2020-06-16,22.0,22.27,21.32,22.2,22.2,8359200,0,0,1.0627094303494495
58,2020-06-15,20.15,21.31,20.07,21.15,21.15,11299200,0,0,
59,2020-06-12,21.0,21.3,20.35,20.89,20.89,10024000,0,0,0.9478221415607986
60,2020-06-11,20.91,21.53,20.24,20.26,20.26,12345500,0,0,
61,2020-06-10,21.9,22.53,21.4,22.41,22.41,12002100,0,0,
62,2020-06-09,21.75,22.73,21.71,22.04,22.04,9601500,0,0,0.9959331224582015
