,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,3day_before_change
0,2020-09-04,51.94,52.48,42.61,49.22,49.22,7285200,0,0,0.844688518963446
1,2020-09-03,55.99,56.13,50.04,51.15,51.15,4772900,0,0,
2,2020-09-02,58.92,59.0,54.68,57.08,57.08,3547300,0,0,
3,2020-09-01,56.3,58.47,55.13,58.27,58.27,3501100,0,0,1.0497207710322465
4,2020-08-31,55.41,56.97,54.82,56.56,56.56,4038000,0,0,
5,2020-08-28,52.67,55.79,51.67,55.51,55.51,3896100,0,0,1.0929316794644615
6,2020-08-27,50.41,52.78,50.41,52.1,52.1,3446300,0,0,
7,2020-08-26,51.3,51.65,49.42,50.03,50.03,2815100,0,0,
8,2020-08-25,51.35,51.87,49.73,50.79,50.79,3664900,0,0,1.053078996475223
9,2020-08-24,48.8,51.2,48.18,51.0,51.0,4435800,0,0,
10,2020-08-21,46.27,48.49,46.02,48.23,48.23,3006600,0,0,1.0414597279205353
11,2020-08-20,47.2,47.81,45.86,45.99,45.99,2536400,0,0,
12,2020-08-19,46.48,49.1,46.35,48.14,48.14,5098200,0,0,
13,2020-08-18,47.84,48.12,44.65,46.31,46.31,3594500,0,0,1.014902476440938
14,2020-08-17,46.19,49.42,46.18,47.73,47.73,3106700,0,0,
15,2020-08-14,46.35,47.85,44.94,45.63,45.63,2502500,0,0,1.0769412320037763
16,2020-08-13,45.17,47.36,44.63,46.73,46.73,3074200,0,0,
17,2020-08-12,43.04,45.79,42.56,44.94,44.94,3710600,0,0,
18,2020-08-11,47.75,47.85,41.92,42.37,42.37,5289400,0,0,0.9210869565217391
19,2020-08-10,45.39,48.06,45.31,47.28,47.28,4000300,0,0,
20,2020-08-07,46.27,48.17,44.42,46.0,46.0,3672900,0,0,1.056499770326137
21,2020-08-06,46.4,48.3,45.12,46.53,46.53,4580100,0,0,
22,2020-08-05,43.0,46.68,41.16,46.4,46.4,6911800,0,0,
23,2020-08-04,40.1,43.55,39.29,43.54,43.54,5330300,0,0,1.1866993731261926
24,2020-08-03,37.18,40.1,36.18,39.78,39.78,4222700,0,0,
25,2020-07-31,36.54,37.41,35.79,36.69,36.69,20112500,0,0,0.9068215521502718
