,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,3day_before_change
0,2020-09-04,11.1,11.2,9.63,10.42,10.42,6744600,0,0,0.6837270341207349
1,2020-09-03,11.49,12.33,10.81,11.22,11.22,12030600,0,0,
2,2020-09-02,16.88,17.79,15.25,16.17,16.17,8897000,0,0,
3,2020-09-01,13.75,15.32,13.69,15.24,15.24,4486700,0,0,1.1322436849925706
4,2020-08-31,13.6,13.7,13.33,13.59,13.59,1565600,0,0,
5,2020-08-28,13.01,13.48,13.0,13.46,13.46,1280200,0,0,1.1445578231292517
6,2020-08-27,13.22,13.27,12.73,12.98,12.98,1187300,0,0,
7,2020-08-26,11.87,13.19,11.87,13.09,13.09,3346000,0,0,
8,2020-08-25,11.52,11.77,11.37,11.76,11.76,954800,0,0,1.014667817083693
9,2020-08-24,11.74,11.74,11.36,11.52,11.52,1129700,0,0,
10,2020-08-21,11.75,11.94,11.43,11.59,11.59,2222600,0,0,0.9772344013490726
11,2020-08-20,11.7,12.02,11.6,11.88,11.88,929000,0,0,
12,2020-08-19,11.9,11.98,11.6,11.77,11.77,761700,0,0,
13,2020-08-18,11.75,11.97,11.71,11.86,11.86,660500,0,0,1.0
14,2020-08-17,11.91,11.97,11.47,11.63,11.63,986200,0,0,
15,2020-08-14,11.83,12.12,11.76,11.86,11.86,712800,0,0,1.037620297462817
16,2020-08-13,11.69,12.12,11.69,11.84,11.84,809900,0,0,
17,2020-08-12,11.56,11.81,11.44,11.66,11.66,776200,0,0,
18,2020-08-11,11.61,11.7,11.4,11.43,11.43,959200,0,0,0.9744245524296674
19,2020-08-10,11.71,11.79,11.28,11.55,11.55,1027000,0,0,
20,2020-08-07,12.05,12.15,11.38,11.73,11.73,939900,0,0,0.9882055602358889
21,2020-08-06,12.48,12.59,11.99,12.14,12.14,733400,0,0,
22,2020-08-05,11.96,12.47,11.94,12.44,12.44,1569300,0,0,
23,2020-08-04,11.71,11.91,11.51,11.87,11.87,694700,0,0,1.0197594501718212
24,2020-08-03,11.67,11.97,11.55,11.82,11.82,955600,0,0,
25,2020-07-31,11.53,11.65,11.15,11.64,11.64,907300,0,0,1.0228471001757469
26,2020-07-30,11.4,11.47,11.06,11.37,11.37,802300,0,0,
27,2020-07-29,11.41,11.59,11.35,11.56,11.56,704800,0,0,
28,2020-07-28,11.67,11.71,11.37,11.38,11.38,620600,0,0,0.9878472222222223
29,2020-07-27,11.56,11.78,11.48,11.74,11.74,497300,0,0,
30,2020-07-24,11.77,11.83,11.36,11.52,11.52,726900,0,0,0.9664429530201342
31,2020-07-23,11.85,12.05,11.67,11.87,11.87,1164600,0,0,
32,2020-07-22,11.92,12.1,11.73,11.88,11.88,661300,0,0,
33,2020-07-21,12.41,12.41,11.86,11.92,11.92,841000,0,0,1.0093141405588484
34,2020-07-20,11.81,12.27,11.73,12.15,12.15,1106900,0,0,
35,2020-07-17,11.79,11.93,11.62,11.81,11.81,864000,0,0,1.0137339055793992
36,2020-07-16,11.88,11.99,11.56,11.81,11.81,1022100,0,0,
37,2020-07-15,11.8,12.11,11.79,12.04,12.04,1190700,0,0,
38,2020-07-14,11.53,11.66,11.06,11.65,11.65,1268300,0,0,0.9372485921158488
39,2020-07-13,12.5,12.53,11.63,11.66,11.66,1690100,0,0,
40,2020-07-10,12.8,12.8,12.39,12.43,12.43,992600,0,0,0.9841646872525731
41,2020-07-09,12.78,12.94,12.61,12.84,12.84,1298000,0,0,
42,2020-07-08,12.75,12.85,12.41,12.68,12.68,1452500,0,0,
43,2020-07-07,12.68,12.99,12.57,12.63,12.63,1108300,0,0,0.9836448598130841
44,2020-07-06,12.85,13.28,12.6,12.73,12.73,1337700,0,0,
45,2020-07-02,13.11,13.2,12.78,12.84,12.84,882400,0,0,1.0239234449760766
46,2020-07-01,12.17,13.04,12.05,12.91,12.91,2303400,0,0,
47,2020-06-30,12.54,12.79,12.44,12.75,12.75,1083600,0,0,
48,2020-06-29,13.05,13.13,12.34,12.54,12.54,1690900,0,0,0.966846569005397
49,2020-06-26,13.19,13.21,12.67,12.97,12.97,3107400,0,0,0.9722638680659671
50,2020-06-25,12.74,13.15,12.57,13.13,13.13,1190600,0,0,
51,2020-06-24,13.17,13.29,12.7,12.79,12.79,1632100,0,0,
52,2020-06-23,13.64,13.64,13.29,13.34,13.34,1722300,0,0,1.0253651037663336
53,2020-06-22,13.07,13.52,13.02,13.51,13.51,1718800,0,0,
54,2020-06-19,13.6,13.6,13.0,13.01,13.01,3572100,0,0,0.9767267267267267
55,2020-06-18,13.39,13.55,13.22,13.52,13.52,1639600,0,0,
56,2020-06-17,13.37,13.52,13.2,13.42,13.42,2144500,0,0,
57,2020-06-16,14.0,14.04,12.61,13.32,13.32,4203600,0,0,1.0724637681159421
58,2020-06-15,12.68,13.5,12.54,13.5,13.5,4995500,0,0,
59,2020-06-12,12.14,12.64,12.11,12.42,12.42,2518700,0,0,1.0
60,2020-06-11,12.33,12.8,11.73,11.79,11.79,2145200,0,0,
61,2020-06-10,12.51,13.45,12.5,12.8,12.8,2880600,0,0,
62,2020-06-09,12.2,12.59,12.14,12.42,12.42,1542000,0,0,0.9741176470588235
63,2020-06-08,12.85,12.9,12.03,12.25,12.25,2554600,0,0,
